Gene	T.CD8	T.follicular_helper	T.CD4	T.NK	T.other	T.plasmacytoid
CXCL10	157.22658	127.9224652	230.8714179	5000.0	372.5818526	100.0
CXCL11	22.77124293	23.48774462	19.900833828499998	2500.0	42.430219005	100.0
CXCL13	22.35743472	9578.936337000001	75.3842082745	13.07578293	10.540776317999999	100.0
CXCL14	5.0	5.0	5.0	5.0	5.0	5.0
CXCL3	26.71170482	27.69750654	22.727739395	23.80124305	91.26540718499999	43.74239251
CXCL5	18.42018765	18.93654262	20.419080817999998	27.07698315	76.37359578499999	36.85986666
CXCL9	125.83623759999999	5000.0	141.470790945	1388.6428970000002	190.0648634	100.0
CXCR1	214.68413880000003	71.48534098	243.02374429999998	466.551537	454.310297	100.0
CXCR2	73.61765642	11.15831089	9.685485811	621.5862446000001	201.97177399499998	100.0
CXCR5	32.70801147	2508.080521	112.133854835	15.58241182	32.212186295	100.0
CXCR6	239.577985	187.5232686	378.74333799499993	157.2179273	976.0523478999999	100.0
CXorf57	102.1724937	14.24242632	184.32092310000002	65.99931897	148.385273175	100.0
CYP27A1	35.11559608	60.30106853	38.51792963	33.66015546	72.04734684	50.02962472
CYP27B1	123.385104	62.71521001	136.03398617	106.86194609999998	325.03643445	100.0
DACH1	6.072925337999999	4.929861418	15.905202166999999	26.48654297	15.498147325000001	14.3280041
DAPK2	36.778245	20.19963341	36.507899124999994	70.58667144	63.82097274	46.88889908
DCSTAMP	45.95452314	68.52517722	37.21317743	62.27586724	69.08146347499999	55.62069277
DEFA1	5.0	5.0	5.0	5.0	5.0	5.0
DEFA4	580.4081606000001	89.90011254	135.41262955000002	1689.1444390000001	521.403080725	100.0
DENND5B	4.9370037280000005	2.140728959	6.380103739	16.84267094	20.714539116999998	11.15852705
DEPDC5	42.10826584	136.4948062	116.10526935	108.89729820000001	72.665289395	95.00592682
DGKA	2223.016764	3860.541888	2417.0943305	347.27173389999996	1751.9605122	100.0
DHRS11	88.61812105	72.38497496	106.247130975	73.58875735	47.052554825	77.31303214
DHX58	67.97505932	86.56913311	160.51406563	78.17985016	52.08312755	93.98834699
DNTT	5.0	5.0	5.0	5.0	5.0	5.0
